,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
A0A433NB65,A0A433NB65_CHLFR,PCC6912_33120,NA,NA,NA,PCC6912_33120,Chlorogloeopsis fritschii PCC 6912,211165,Piwi domain-containing protein,UP000268857: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Chlorogloeopsidaceae, Chlorogloeopsis, Chlorogloeopsis fritschii, Chlorogloeopsis fritschii PCC 6912",NA
A0A1Z4L0A1,A0A1Z4L0A1_NOSLI,NIES25_10200,NA,NA,NA,NIES25_10200,Nostoc linckia NIES-25,1091006,Piwi domain-containing protein,UP000217515: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Nostocaceae, Nostoc, Nostoc linckia, Nostoc linckia NIES-25",NA
K9UQR0,K9UQR0_CHAP6,Cha6605_6317,NA,NA,NA,Cha6605_6317,Chamaesiphon minutus (strain ATCC 27169 / PCC 6605),1173020,Uncharacterized protein containing piwi/argonaute domain,UP000010366: Plasmid pCHA6605.01,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Chamaesiphonaceae, Chamaesiphon, Chamaesiphon minutus, Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)",NA
A0A2T1G8M7,A0A2T1G8M7_9CYAN,C7B67_02660,NA,NA,NA,C7B67_02660,filamentous cyanobacterium Phorm 6,2107706,Stem cell self-renewal protein Piwi,UP000239157: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, unclassified Cyanobacteria, filamentous cyanobacterium Phorm 6",NA
K9VUN0,K9VUN0_9CYAN,Cri9333_0723,NA,NA,NA,Cri9333_0723,Crinalium epipsammum PCC 9333,1173022,Stem cell self-renewal protein Piwi,UP000010472: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Gomontiellaceae, Crinalium, Crinalium epipsammum, Crinalium epipsammum PCC 9333",NA
B7GJX9,B7GJX9_ANOFW,Aflv_1627,NA,NA,Aflv_1627,NA,Anoxybacillus flavithermus (strain DSM 21510 / WK1),491915,"Argonaute, predicted to be implicated in RNA metabolism",UP000000742: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anoxybacillus, Anoxybacillus flavithermus, Anoxybacillus flavithermus (strain DSM 21510 / WK1)",NA
A0A0P6X5X2,A0A0P6X5X2_9CHLR,ADM99_14245,NA,NA,NA,ADM99_14245,Leptolinea tardivitalis,229920,Piwi domain-containing protein,UP000050430: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, Leptolinea, Leptolinea tardivitalis",NA
K9ZDE3,K9ZDE3_ANACC,Anacy_1204,NA,NA,Anacy_1204,NA,Anabaena cylindrica (strain ATCC 27899 / PCC 7122),272123,Stem cell self-renewal protein Piwi,UP000010474: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Nostocaceae, Anabaena, Anabaena cylindrica, Anabaena cylindrica (strain ATCC 27899 / PCC 7122)",NA
B0JXD6,B0JXD6_MICAN,MAE_19410,NA,NA,MAE_19410,NA,Microcystis aeruginosa (strain NIES-843),449447,Piwi domain-containing protein,UP000001510: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Microcystaceae, Microcystis, Microcystis aeruginosa, Microcystis aeruginosa (strain NIES-843)",NA
A0A2T1LS63,A0A2T1LS63_9CHRO,C7H19_21885,NA,NA,NA,C7H19_21885,Aphanothece hegewaldii CCALA 016,2107694,Stem cell self-renewal protein Piwi,UP000239001: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Aphanothecaceae, Aphanothece, Aphanothece hegewaldii, Aphanothece hegewaldii CCALA 016",NA
A0A1Z4K1Y3,A0A1Z4K1Y3_9CYAN,NIES22_30560,NA,NA,NA,NIES22_30560,Calothrix brevissima NIES-22,1973478,Piwi domain-containing protein,UP000218201: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Calotrichaceae, Calothrix, Calothrix brevissima, Calothrix brevissima NIES-22",NA
A0A2Z6E0R7,A0A2Z6E0R7_HYDTE,HPTL_P029,NA,NA,NA,HPTL_P029,Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila),297,Piwi domain-containing protein,UP000262004: Plasmid pth1 dna,"cellular organisms, Bacteria, Proteobacteria, Hydrogenophilalia, Hydrogenophilales, Hydrogenophilaceae, Hydrogenophilus, Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila)",NA
A0A1N6SSK9,A0A1N6SSK9_9BACI,SAMN05443094_102519,NA,NA,NA,SAMN05443094_102519,Domibacillus enclensis,1017273,Piwi domain-containing protein,UP000186385: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Domibacillus, Domibacillus enclensis",NA
A0A0P4UVI8,A0A0P4UVI8_9CYAN,NIES2104_31380,NA,NA,NA,NIES2104_31380,Leptolyngbya sp. NIES-2104,1552121,Piwi domain-containing protein,UP000052243: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Leptolyngbyaceae, Leptolyngbya, unclassified Leptolyngbya, Leptolyngbya sp. NIES-2104",NA
A0A0N4X8S8,A0A0N4X8S8_HAEPC,HPLM_LOCUS20762,NA,NA,NA,HPLM_LOCUS20762,Haemonchus placei (Barber's pole worm),6290,Uncharacterized protein,"UP000038042: Unplaced, UP000268014: Unassembled WGS sequence","cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Trichostrongyloidea, Haemonchidae, Haemonchus, Haemonchus placei (Barber's pole worm)",NA
A0A0V7ZCG4,A0A0V7ZCG4_9CYAN,BC008_37625,NA,NA,NA,BC008_37625,Mastigocoleus testarum BC008,371196,Stem cell self-renewal protein Piwi,UP000053372: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Hapalosiphonaceae, Mastigocoleus, Mastigocoleus testarum, Mastigocoleus testarum BC008",NA
A0A1J0AGK2,A0A1J0AGK2_9CYAN,GlitD10_2739,NA,NA,NA,GlitD10_2739,Gloeomargarita lithophora Alchichica-D10,1188229,Piwi domain-containing protein,UP000180235: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Gloeoemargaritales, Gloeomargaritaceae, Gloeomargarita, Gloeomargarita lithophora, Gloeomargarita lithophora Alchichica-D10",NA
A0A2M8J4C7,A0A2M8J4C7_9RHOB,CVM52_05730,NA,NA,NA,CVM52_05730,Pseudooceanicola lipolyticus,2029104,Uncharacterized protein,UP000231553: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Pseudooceanicola, Pseudooceanicola lipolyticus",NA
K9PFF9,K9PFF9_9CYAN,Cal7507_1708,NA,NA,NA,Cal7507_1708,Calothrix sp. PCC 7507,99598,Stem cell self-renewal protein Piwi,UP000010390: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Calotrichaceae, Calothrix, unclassified Calothrix, Calothrix sp. PCC 7507",NA
A0A2G9DT08,A0A2G9DT08_9ACTN,CTU88_14375,NA,NA,NA,CTU88_14375,Streptomyces sp. JV178,858632,Piwi domain-containing protein,UP000230369: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Streptomycetales, Streptomycetaceae, Streptomyces, unclassified Streptomyces, Streptomyces sp. JV178",NA
K9UEV4,K9UEV4_CHAP6,Cha6605_1842,NA,NA,NA,Cha6605_1842,Chamaesiphon minutus (strain ATCC 27169 / PCC 6605),1173020,Uncharacterized protein containing piwi/argonaute domain,UP000010366: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Chamaesiphonaceae, Chamaesiphon, Chamaesiphon minutus, Chamaesiphon minutus (strain ATCC 27169 / PCC 6605)",NA
Q9L1X1,Q9L1X1_STRCO,SCO6840,NA,NA,SCO6840,NA,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),100226,Uncharacterized protein,UP000001973: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Streptomycetales, Streptomycetaceae, Streptomyces, Streptomyces albidoflavus group, Streptomyces coelicolor, Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)",NA
A0A060HNJ0,A0A060HNJ0_9ARCH,NVIE_009060,NA,NA,NA,NVIE_009060,Nitrososphaera viennensis EN76,926571,Piwi domain-containing protein,UP000027093: Chromosome,"cellular organisms, Archaea, TACK group, Thaumarchaeota, Nitrososphaeria, Nitrososphaerales, Nitrososphaeraceae, Nitrososphaera, Nitrososphaera viennensis, Nitrososphaera viennensis EN76",NA
A0A235B542,A0A235B542_9BACL,CHM34_11030,NA,NA,NA,CHM34_11030,Paludifilum halophilum,1642702,Piwi domain-containing protein,UP000215459: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Thermoactinomycetaceae, Paludifilum, Paludifilum halophilum",NA
R5XQK4,R5XQK4_9CLOT,BN488_02083,NA,NA,NA,BN488_02083,Clostridium bartlettii CAG:1329,1263063,Piwi domain protein,UP000017980: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, environmental samples, Clostridium bartlettii CAG:1329",NA
A0A1H3LE92,A0A1H3LE92_9EURY,SAMN05216564_10747,NA,NA,NA,SAMN05216564_10747,Halopenitus persicus,1048396,Piwi domain-containing protein,UP000199079: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Haloferacales, Halorubraceae, Halopenitus, Halopenitus persicus",NA
A0A196SDB4,A0A196SDB4_BLAHN,AV274_3261,NA,NA,NA,AV274_3261,Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII),478820,Argonaute protein,UP000078348: Unassembled WGS sequence,"cellular organisms, Eukaryota, Sar, Stramenopiles, Bigyra, Opalozoa, Opalinata, Blastocystidae, Blastocystis, Blastocystis sp. subtypes, Blastocystis sp. subtype 1, Blastocystis sp. subtype 1 (strain ATCC 50177 / NandII)",NA
A0A496APJ8,A0A496APJ8_9BACT,C6497_07480,NA,NA,NA,C6497_07480,Candidatus Poribacteria bacterium,2026781,Transcriptional regulator,UP000269781: Unassembled WGS sequence,"cellular organisms, Bacteria, Bacteria incertae sedis, Bacteria candidate phyla, Candidatus Poribacteria, Candidatus Poribacteria bacterium",NA
J9D5G4,J9D5G4_EDHAE,EDEG_02830,NA,NA,NA,EDEG_02830,Edhazardia aedis (strain USNM 41457) (Microsporidian parasite),1003232,Uncharacterized protein,UP000003163: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Microsporidia incertae sedis, Culicosporidae, Edhazardia, Edhazardia aedis, Edhazardia aedis (strain USNM 41457) (Microsporidian parasite)",NA
A0A062U2W9,A0A062U2W9_9PROT,HY2_07750,NA,NA,NA,HY2_07750,Hyphomonas pacifica,1280941,Piwi domain-containing protein,UP000027006: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Hyphomonadales, Hyphomonadaceae, Hyphomonas, Hyphomonas pacifica",NA
H0HWQ5,H0HWQ5_9RHIZ,MAXJ12_23102,NA,NA,NA,MAXJ12_23102,Mesorhizobium alhagi CCNWXJ12-2,1107882,Piwi domain-containing protein,UP000003250: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Mesorhizobium, Mesorhizobium alhagi, Mesorhizobium alhagi CCNWXJ12-2",NA
A0A1V9G9U4,A0A1V9G9U4_9BACT,A3860_02390,NA,NA,NA,A3860_02390,Niastella vici,1703345,Piwi domain-containing protein,UP000192796: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Niastella, Niastella vici",NA
A0A1I2ZGP1,A0A1I2ZGP1_9SPHI,SAMN04489864_11016,NA,NA,NA,SAMN04489864_11016,Pedobacter insulae,414048,Piwi domain-containing protein,UP000199666: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, Pedobacter insulae",NA
A0A317EJY3,A0A317EJY3_9SPHI,DHW03_15370,NA,NA,NA,DHW03_15370,Pedobacter yonginense,651869,Piwi domain-containing protein,UP000245379: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, Pedobacter yonginense",NA
A0A1I2BD20,A0A1I2BD20_9BACT,SAMN05216167_11540,NA,NA,NA,SAMN05216167_11540,Spirosoma endophyticum,662367,Uncharacterized protein,UP000198598: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Spirosoma, Spirosoma endophyticum",NA
Q389P5,Q389P5_TRYB2,Tb10.406.0020,NA,NA,NA,Tb10.406.0020,Trypanosoma brucei brucei (strain 927/4 GUTat10.1),185431,Argonaute-like protein,UP000008524: Chromosome 10,"cellular organisms, Eukaryota, Discoba, Euglenozoa, Kinetoplastea (kinetoplasts), Metakinetoplastina, Trypanosomatida, Trypanosomatidae, Trypanosoma, Trypanozoon, Trypanosoma brucei, Trypanosoma brucei brucei, Trypanosoma brucei brucei (strain 927/4 GUTat10.1)",NA
F8ERC7,A0A7U4E989_RUNSL,Runsl_5872,NA,NA,NA,Runsl_5872,Runella slithyformis (strain ATCC 29530 / DSM 19594 / LMG 11500 / NCIMB 11436 / LSU 4),761193,Uncharacterized protein,UP000000493: Plasmid pRUNSL03,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Runella, Runella slithyformis, Runella slithyformis (strain ATCC 29530 / DSM 19594 / LMG 11500 / NCIMB 11436 / LSU 4)",NA
S7VLM7,S7VLM7_9FLAO,ADIWIN_3703,NA,NA,NA,ADIWIN_3703,Winogradskyella psychrotolerans RS-3,641526,Piwi domain-containing protein,UP000014962: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Winogradskyella, Winogradskyella psychrotolerans, Winogradskyella psychrotolerans RS-3",NA
A0A1A5X8H4,A0A1A5X8H4_9BURK,A6456_36270,NA,NA,NA,A6456_36270,Paraburkholderia tropica,92647,Piwi domain-containing protein,UP000093802: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Paraburkholderia, Paraburkholderia tropica",NA
C4LVV2,C4LVV2_ENTHI,EHI_125650,NA,NA,NA,EHI_125650,Entamoeba histolytica,5759,"PIWI, putative",UP000001926: Partially assembled WGS sequence,"cellular organisms, Eukaryota, Amoebozoa, Evosea, Archamoebae, Mastigamoebida, Entamoebidae, Entamoeba, Entamoeba histolytica",NA
A0A1I2T6Q1,A0A1I2T6Q1_9RHIZ,SAMN05192565_10624,NA,NA,NA,SAMN05192565_10624,Methylobacterium gossipiicola,582675,Piwi domain-containing protein,UP000199229: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium, Methylobacterium gossipiicola",NA
A0A2P6N8X7,A0A2P6N8X7_9EUKA,PROFUN_11990,NA,NA,NA,PROFUN_11990,Planoprotostelium fungivorum,1890364,Eukaryotic translation initiation factor 2C 2,UP000241769: Unassembled WGS sequence,"cellular organisms, Eukaryota, Amoebozoa, Evosea, Variosea, Cavosteliida, Cavosteliaceae, Planoprotostelium, Planoprotostelium fungivorum",NA
A0A1R3T9N6,A0A1R3T9N6_9RHIZ,DSM25559_0379,NA,NA,NA,DSM25559_0379,Agrobacterium rosae,1972867,Piwi domain-containing protein,UP000187891: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Agrobacterium, Agrobacterium rosae",NA
A8BCK6,AGO_GIAIC,Ago GL50803_2902,Ago,NA,NA,GL50803_2902,Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia),184922,Protein argonaute,NA,"cellular organisms, Eukaryota, Metamonada, Fornicata, Diplomonadida, Hexamitidae, Giardiinae, Giardia, Giardia intestinalis (Giardia lamblia), Giardia intestinalis (strain ATCC 50803 / WB clone C6) (Giardia lamblia)",NA
A0A0Q2M2Z1,A0A0Q2M2Z1_9EURY,A3L14_06700 AMR53_05540 SAMN05216170_0611,NA,NA,NA,A3L14_06700 AMR53_05540 SAMN05216170_0611,Thermococcus thioreducens,277988,Argonaute family protein,"UP000051862: Unassembled WGS sequence, UP000182125: Unassembled WGS sequence, UP000250136: Chromosome","cellular organisms, Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus, Thermococcus thioreducens",NA
H8KXJ0,H8KXJ0_SOLCM,Solca_0131,NA,NA,Solca_0131,NA,Solitalea canadensis (strain ATCC 29591 / DSM 3403 / NBRC 15130 / NCIMB 12057 / USAM 9D) (Flexibacter canadensis),929556,Piwi domain-containing protein,UP000007590: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Solitalea, Solitalea canadensis (Flexibacter canadensis), Solitalea canadensis (strain ATCC 29591 / DSM 3403 / NBRC 15130 / NCIMB 12057 / USAM 9D) (Flexibacter canadensis)",NA
D3S0S6,D3S0S6_FERPA,Ferp_2188,NA,NA,Ferp_2188,NA,Ferroglobus placidus (strain DSM 10642 / AEDII12DO),589924,Stem cell self-renewal protein Piwi domain protein,UP000002613: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Archaeoglobi, Archaeoglobales, Archaeoglobaceae, Ferroglobus, Ferroglobus placidus, Ferroglobus placidus (strain DSM 10642 / AEDII12DO)",NA
A0A2D1U4H7,A0A2D1U4H7_9SPHI,CPT03_08385,NA,NA,NA,CPT03_08385,Pedobacter ginsengisoli,363852,Piwi domain-containing protein,UP000223749: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, Pedobacter ginsengisoli",NA
I3TE64,I3TE64_THEC1,TCELL_0628,NA,NA,TCELL_0628,NA,Thermogladius calderae (strain DSM 22663 / VKM B-2946 / 1633),1184251,Piwi domain-containing protein,UP000005270: Chromosome,"cellular organisms, Archaea, TACK group, Crenarchaeota, Thermoprotei, Desulfurococcales, Desulfurococcaceae, Thermogladius, Thermogladius calderae, Thermogladius calderae (strain DSM 22663 / VKM B-2946 / 1633)",NA
A0A0B7I4Z6,A0A0B7I4Z6_9FLAO,CCAND38_230015,NA,NA,NA,CCAND38_230015,Capnocytophaga canis,1848903,Piwi domain protein,UP000045051: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, Capnocytophaga canis",NA
A0LL61,A0LL61_SYNFM,Sfum_2483,NA,NA,Sfum_2483,NA,Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB),335543,Stem cell self-renewal protein Piwi domain protein,UP000001784: Chromosome,"cellular organisms, Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophobacteraceae, Syntrophobacter, Syntrophobacter fumaroxidans, Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)",NA
Q8DKB1,Q8DKB1_THEEB,tll0948,NA,NA,tll0948,NA,Thermosynechococcus elongatus (strain BP-1),197221,Tll0948 protein,UP000000440: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Thermosynechococcus, Thermosynechococcus elongatus, Thermosynechococcus elongatus (strain BP-1)",NA
A0A139WY18,A0A139WY18_9CYAN,WA1_47800,NA,NA,NA,WA1_47800,Scytonema hofmannii PCC 7110,128403,Transcriptional regulator,UP000076925: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Scytonemataceae, Scytonema, Scytonema hofmannii, Scytonema hofmannii PCC 7110",NA
A0A1J1EK56,A0A1J1EK56_THETH,TTMY_0057,NA,NA,NA,TTMY_0057,Thermus thermophilus,274,Stem cell self-renewal protein Piwi,UP000217909: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus, Thermus thermophilus",NA
A0A2T1E1K4,A0A2T1E1K4_9CYAN,C7B82_19215,NA,NA,NA,C7B82_19215,Stenomitos frigidus ULC18,2107698,Transcriptional regulator,UP000239576: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Leptolyngbyaceae, Stenomitos, Stenomitos frigidus, Stenomitos frigidus ULC18",NA
A0A1Q8ZD62,A0A1Q8ZD62_9CYAN,BST81_11895,NA,NA,NA,BST81_11895,Leptolyngbya sp. 'hensonii',1922337,Transcriptional regulator,UP000186296: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Leptolyngbyaceae, Leptolyngbya, unclassified Leptolyngbya, Leptolyngbya sp. 'hensonii'",NA
A0A4Q6XKV6,A0A4Q6XKV6_9SPHI,EWE74_20000,NA,NA,NA,EWE74_20000,Sphingobacterium sp. 30C10-4-7,2484746,Piwi domain protein,UP000292855: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Sphingobacterium, unclassified Sphingobacterium, Sphingobacterium sp. 30C10-4-7",NA
A0A1Z3HNN4,A0A1Z3HNN4_9CYAN,XM38_028560,NA,NA,NA,XM38_028560,Halomicronema hongdechloris C2206,1641165,Piwi domain-containing protein,UP000191901: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Prochlorotrichaceae, Halomicronema, Halomicronema hongdechloris, Halomicronema hongdechloris C2206",NA
A0A239JE83,A0A239JE83_9BACT,SAMN06296052_12171,NA,NA,NA,SAMN06296052_12171,Pontibacter ummariensis,1610492,Piwi domain-containing protein,UP000198432: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Pontibacter, Pontibacter ummariensis",NA
A0A2N4XBY2,A0A2N4XBY2_9BACT,C0V77_12360,NA,NA,NA,C0V77_12360,Emticicia sp. TH156,2067454,Piwi domain protein,UP000234203: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Emticicia, unclassified Emticicia, Emticicia sp. TH156",NA
Q53W94,Q53W94_THET8,TTHB068,NA,NA,TTHB068,NA,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),300852,Piwi domain-containing protein,UP000000532: Plasmid pTT27,"cellular organisms, Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus, Thermus thermophilus, Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)",NA
R5JEI2,R5JEI2_9BACE,BN523_03090,NA,NA,NA,BN523_03090,Bacteroides sp. CAG:189,1262737,Piwi domain-containing protein,UP000018406: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, environmental samples, Bacteroides sp. CAG:189",NA
A0A0Q0ZC47,A0A0Q0ZC47_9SPHI,AQF98_20225,NA,NA,NA,AQF98_20225,Pedobacter sp. Hv1,1740090,Piwi domain protein,UP000050543: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter, unclassified Pedobacter, Pedobacter sp. Hv1",NA
A0A2T0XH18,A0A2T0XH18_9BACT,NA,NA,NA,NA,NA,Hammondia hammondi (Parasitic protozoan),NA,Deleted.,NA,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Marinilabiliales, Marinilabiliaceae, Marinilabilia, Marinilabilia salmonicolor",NA
A2DPV7,A2DPV7_TRIVA,TVAG_453810,NA,NA,NA,TVAG_453810,Trichomonas vaginalis,5722,Piwi domain containing protein,UP000001542: Unassembled WGS sequence,"cellular organisms, Eukaryota, Metamonada, Parabasalia (parabasalids), Trichomonadida (trichomonads), Trichomonadidae, Trichomonas, Trichomonas vaginalis",NA
A0A1V4CHV0,A0A1V4CHV0_9BURK,BC358_06155,NA,NA,NA,BC358_06155,Hydrogenophaga sp. H7,1882399,Piwi domain-containing protein,UP000189907: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Hydrogenophaga, unclassified Hydrogenophaga, Hydrogenophaga sp. H7",NA
A0A1K1RQP7,A0A1K1RQP7_9FLAO,SAMN02927921_03899,NA,NA,NA,SAMN02927921_03899,Sinomicrobium oceani,1150368,Piwi domain-containing protein,UP000182248: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Sinomicrobium, Sinomicrobium oceani",NA
